[15 Jul 2025 12:39:07] <TCP CommControl> Listening for -> Launcher @1308
[15 Jul 2025 12:39:09] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:11] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:13] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:15] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:17] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:19] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:21] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:23] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:25] <TCP Connection> Trying To Connect -> Connector
[15 Jul 2025 12:39:27] <TCP Connection> Trying
